regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:1.0,58.42 ± 1.41,59.50 ± 0.91
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:10.0,58.20 ± 1.79,59.31 ± 1.31
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:100.0,45.04 ± 4.61,51.91 ± 2.70
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:1.0,59.32 ± 1.11,60.08 ± 1.05
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:10.0,59.25 ± 0.83,59.90 ± 0.81
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:100.0,59.07 ± 1.05,59.84 ± 0.98
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:1.0,56.48 ± 2.26,58.41 ± 1.88
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:10.0,57.29 ± 2.33,58.98 ± 2.05
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:100.0,46.11 ± 14.76,51.32 ± 9.71
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:1.0,59.27 ± 0.99,60.09 ± 0.73
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:10.0,59.40 ± 1.04,60.11 ± 0.84
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:100.0,47.10 ± 5.66,53.00 ± 3.25
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:1.0,59.55 ± 0.66,60.33 ± 0.66
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:10.0,59.51 ± 1.25,60.17 ± 1.20
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:100.0,59.25 ± 1.33,60.11 ± 1.29
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:1.0,56.50 ± 2.74,58.47 ± 2.18
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:10.0,57.90 ± 1.92,59.40 ± 1.75
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:100.0,45.75 ± 16.71,52.36 ± 9.82
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.2,R:1.0,59.42 ± 0.94,60.12 ± 0.65
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.2,R:10.0,59.61 ± 0.69,60.18 ± 0.59
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.2,R:100.0,47.36 ± 5.72,52.90 ± 3.26
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.5,R:1.0,59.45 ± 0.81,60.27 ± 0.82
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.5,R:10.0,59.74 ± 0.69,60.28 ± 0.76
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.5,R:100.0,59.65 ± 0.57,60.30 ± 0.60
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.7,R:1.0,56.49 ± 2.74,58.54 ± 1.91
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.7,R:10.0,58.15 ± 1.93,59.58 ± 1.76
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.001,dp:0.7,R:100.0,51.33 ± 13.97,55.07 ± 8.44
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.2,R:1.0,57.45 ± 0.86,58.55 ± 0.81
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.2,R:10.0,59.35 ± 0.84,59.90 ± 0.83
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.2,R:100.0,52.36 ± 7.02,54.97 ± 4.56
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.5,R:1.0,57.53 ± 1.54,58.72 ± 1.36
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.5,R:10.0,59.61 ± 0.67,60.25 ± 0.68
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.5,R:100.0,58.99 ± 1.27,59.89 ± 1.15
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.7,R:1.0,55.66 ± 3.67,57.94 ± 2.50
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.7,R:10.0,58.04 ± 2.33,59.49 ± 1.98
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.001,wd:0.005,dp:0.7,R:100.0,53.57 ± 8.32,56.87 ± 5.17
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.2,R:1.0,53.88 ± 2.94,56.81 ± 1.94
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.2,R:10.0,54.92 ± 4.01,57.53 ± 2.42
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.2,R:100.0,48.68 ± 8.97,53.37 ± 5.37
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.5,R:1.0,58.43 ± 1.60,59.40 ± 1.15
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.5,R:10.0,57.28 ± 2.68,58.52 ± 1.71
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.5,R:100.0,53.12 ± 8.38,55.96 ± 5.25
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.7,R:1.0,56.75 ± 2.67,58.69 ± 1.40
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.7,R:10.0,58.36 ± 1.75,59.68 ± 1.00
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0,dp:0.7,R:100.0,51.19 ± 10.40,54.89 ± 6.60
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.2,R:1.0,56.56 ± 3.20,58.43 ± 1.75
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.2,R:10.0,55.29 ± 3.98,57.69 ± 2.70
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.2,R:100.0,48.28 ± 8.18,53.61 ± 4.61
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.5,R:1.0,58.75 ± 1.42,59.69 ± 0.73
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.5,R:10.0,56.98 ± 4.18,58.31 ± 3.22
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.5,R:100.0,55.96 ± 2.90,57.62 ± 2.04
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.7,R:1.0,56.39 ± 3.63,58.53 ± 1.92
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.7,R:10.0,59.14 ± 1.21,60.15 ± 0.92
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.7,R:100.0,54.36 ± 5.84,57.57 ± 2.72
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.2,R:1.0,57.59 ± 2.62,58.94 ± 1.54
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.2,R:10.0,57.00 ± 3.25,58.60 ± 1.85
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.2,R:100.0,48.18 ± 7.07,53.31 ± 4.05
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.5,R:1.0,59.25 ± 0.99,59.98 ± 0.59
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.5,R:10.0,56.21 ± 4.97,57.86 ± 3.75
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.5,R:100.0,55.06 ± 4.80,57.03 ± 3.17
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.7,R:1.0,56.10 ± 3.74,58.34 ± 2.02
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.7,R:10.0,59.23 ± 1.33,60.20 ± 1.06
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.001,dp:0.7,R:100.0,42.97 ± 14.79,51.60 ± 8.33
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.2,R:1.0,58.11 ± 1.31,58.81 ± 0.74
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.2,R:10.0,56.24 ± 3.24,57.71 ± 1.96
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.2,R:100.0,49.12 ± 6.18,52.90 ± 3.47
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.5,R:1.0,58.78 ± 0.80,59.50 ± 0.68
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.5,R:10.0,58.94 ± 0.74,59.41 ± 0.67
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.5,R:100.0,56.63 ± 4.06,58.33 ± 2.82
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.7,R:1.0,54.72 ± 3.42,57.35 ± 1.84
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.7,R:10.0,56.18 ± 4.24,58.26 ± 2.09
regcn,ft:0,n_layer:3,he:8,hd:64,lr:0.005,wd:0.005,dp:0.7,R:100.0,25.24 ± 11.72,39.98 ± 6.51
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:1.0,55.10 ± 4.31,57.35 ± 2.24
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:10.0,54.77 ± 4.19,57.16 ± 2.17
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:100.0,41.17 ± 5.59,49.80 ± 3.21
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:1.0,55.05 ± 4.44,57.49 ± 2.11
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:10.0,56.17 ± 4.70,58.20 ± 2.28
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:100.0,56.95 ± 2.88,58.46 ± 1.51
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:1.0,33.89 ± 4.25,45.84 ± 3.64
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:10.0,29.56 ± 4.15,42.42 ± 2.63
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:100.0,20.59 ± 3.86,37.01 ± 1.04
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:1.0,56.04 ± 4.39,57.93 ± 2.21
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:10.0,55.66 ± 4.21,57.67 ± 2.19
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:100.0,41.38 ± 6.47,49.80 ± 3.81
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:1.0,55.59 ± 3.85,57.75 ± 1.87
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:10.0,56.60 ± 3.58,58.41 ± 1.87
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:100.0,58.26 ± 2.27,59.29 ± 1.26
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:1.0,34.01 ± 4.13,45.92 ± 3.56
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:10.0,31.39 ± 3.64,43.48 ± 2.75
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:100.0,20.53 ± 3.89,37.01 ± 1.12
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.001,dp:0.2,R:1.0,56.53 ± 4.27,58.29 ± 2.27
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.001,dp:0.2,R:10.0,55.82 ± 4.16,57.69 ± 2.15
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.001,dp:0.2,R:100.0,41.97 ± 7.68,49.85 ± 4.34
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.001,dp:0.5,R:1.0,55.45 ± 4.65,57.83 ± 2.25
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.001,dp:0.5,R:10.0,55.89 ± 4.96,58.09 ± 2.52
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.001,dp:0.5,R:100.0,57.08 ± 5.58,58.70 ± 2.94
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.001,dp:0.7,R:1.0,33.91 ± 4.22,45.88 ± 3.69
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.001,dp:0.7,R:10.0,31.77 ± 3.54,43.76 ± 2.82
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.001,dp:0.7,R:100.0,20.50 ± 3.85,37.00 ± 1.05
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.005,dp:0.2,R:1.0,53.53 ± 4.33,56.23 ± 2.28
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.005,dp:0.2,R:10.0,55.00 ± 4.36,57.04 ± 2.26
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.005,dp:0.2,R:100.0,42.57 ± 9.06,49.38 ± 5.64
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.005,dp:0.5,R:1.0,51.84 ± 4.84,55.46 ± 2.66
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.005,dp:0.5,R:10.0,54.06 ± 5.08,56.85 ± 2.67
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.005,dp:0.5,R:100.0,58.70 ± 1.52,59.48 ± 1.20
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.005,dp:0.7,R:1.0,32.47 ± 4.93,44.56 ± 3.90
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.005,dp:0.7,R:10.0,28.96 ± 4.18,41.94 ± 2.70
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.001,wd:0.005,dp:0.7,R:100.0,20.54 ± 4.45,37.24 ± 0.81
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0,dp:0.2,R:1.0,50.76 ± 6.73,55.17 ± 3.67
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0,dp:0.2,R:10.0,49.95 ± 7.58,54.49 ± 4.71
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0,dp:0.2,R:100.0,39.07 ± 9.63,47.23 ± 5.50
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0,dp:0.5,R:1.0,54.88 ± 6.27,57.47 ± 3.16
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0,dp:0.5,R:10.0,55.20 ± 5.93,57.84 ± 2.94
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0,dp:0.5,R:100.0,54.01 ± 6.67,56.37 ± 4.04
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0,dp:0.7,R:1.0,43.30 ± 10.96,51.17 ± 6.29
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0,dp:0.7,R:10.0,29.53 ± 8.93,41.44 ± 5.05
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0,dp:0.7,R:100.0,35.27 ± 9.52,47.30 ± 6.16
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.2,R:1.0,49.81 ± 7.64,54.40 ± 4.55
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.2,R:10.0,51.31 ± 7.89,55.28 ± 4.78
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.2,R:100.0,42.12 ± 12.32,48.80 ± 7.35
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.5,R:1.0,54.48 ± 5.70,57.14 ± 2.73
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.5,R:10.0,55.15 ± 6.47,57.94 ± 3.24
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.5,R:100.0,53.99 ± 7.26,56.43 ± 4.49
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.7,R:1.0,43.72 ± 6.55,50.26 ± 4.20
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.7,R:10.0,27.15 ± 5.02,40.22 ± 2.32
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.0005,dp:0.7,R:100.0,23.44 ± 7.13,38.88 ± 4.33
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.001,dp:0.2,R:1.0,53.87 ± 4.18,56.53 ± 2.65
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.001,dp:0.2,R:10.0,50.67 ± 6.93,54.95 ± 4.12
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.001,dp:0.2,R:100.0,43.23 ± 12.44,49.26 ± 7.20
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.001,dp:0.5,R:1.0,55.89 ± 6.06,58.06 ± 2.87
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.001,dp:0.5,R:10.0,54.70 ± 6.47,57.35 ± 3.23
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.001,dp:0.5,R:100.0,54.99 ± 6.12,57.37 ± 3.23
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.001,dp:0.7,R:1.0,47.48 ± 5.51,51.96 ± 4.42
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.001,dp:0.7,R:10.0,27.05 ± 4.85,40.11 ± 2.19
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.001,dp:0.7,R:100.0,19.16 ± 3.60,37.12 ± 0.84
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.005,dp:0.2,R:1.0,52.51 ± 5.60,55.59 ± 2.66
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.005,dp:0.2,R:10.0,52.89 ± 5.27,55.91 ± 2.44
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.005,dp:0.2,R:100.0,47.24 ± 8.04,50.97 ± 4.68
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.005,dp:0.5,R:1.0,51.85 ± 5.78,55.75 ± 2.47
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.005,dp:0.5,R:10.0,53.21 ± 6.22,56.66 ± 2.90
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.005,dp:0.5,R:100.0,55.20 ± 3.94,57.23 ± 2.24
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.005,dp:0.7,R:1.0,39.77 ± 5.63,47.42 ± 4.81
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.005,dp:0.7,R:10.0,24.90 ± 5.09,39.25 ± 2.34
regcn,ft:0,n_layer:4,he:8,hd:64,lr:0.005,wd:0.005,dp:0.7,R:100.0,17.99 ± 0.00,36.95 ± 0.00
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:1.0,54.68 ± 4.25,57.29 ± 2.19
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:10.0,54.88 ± 4.01,57.34 ± 2.08
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0,dp:0.2,R:100.0,43.55 ± 7.69,51.07 ± 4.02
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:1.0,54.66 ± 3.97,57.39 ± 2.03
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:10.0,54.78 ± 4.08,57.58 ± 2.14
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0,dp:0.5,R:100.0,57.73 ± 1.83,58.96 ± 0.96
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:1.0,20.05 ± 2.01,36.85 ± 0.60
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:10.0,20.39 ± 3.40,37.24 ± 1.14
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0,dp:0.7,R:100.0,20.11 ± 3.49,37.17 ± 0.86
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:1.0,55.53 ± 3.69,57.77 ± 1.97
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:10.0,55.52 ± 4.58,57.86 ± 2.37
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.2,R:100.0,42.66 ± 7.40,50.38 ± 3.95
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:1.0,54.63 ± 3.65,57.58 ± 1.67
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:10.0,56.70 ± 2.71,58.67 ± 1.48
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.5,R:100.0,58.00 ± 1.76,59.26 ± 0.96
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:1.0,20.05 ± 2.05,36.85 ± 0.54
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:10.0,20.39 ± 2.83,37.12 ± 0.91
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.0005,dp:0.7,R:100.0,20.09 ± 3.50,37.17 ± 0.90
regcn,ft:0,n_layer:5,he:8,hd:64,lr:0.001,wd:0.001,dp:0.2,R:1.0,55.74 ± 4.15,57.89 ± 2.29
